年,月,日,祝日,曜日,Hチーム,Vチーム,球場,本拠地,開始,Hスコア,Vスコア,観客動員数,試合時間
2022,3,25,FALSE,金,ソ,日,PayPayドーム,TRUE,18:30,4,1,35141,3:25
2022,3,25,FALSE,金,西,オ,ベルーナドーム,TRUE,18:00,0,6,22646,2:48
2022,3,25,FALSE,金,楽,ロ,楽天生命パーク,TRUE,16:00,0,4,20564,2:58
2022,3,25,FALSE,金,D,広,横浜スタジアム,TRUE,18:30,3,11,32436,3:31
2022,3,25,FALSE,金,阪,ヤ,京セラドーム,TRUE,18:00,8,10,35510,3:55
2022,3,25,FALSE,金,巨,中,東京ドーム,TRUE,18:15,4,2,38156,3:19
2022,3,26,FALSE,土,ソ,日,PayPayドーム,TRUE,14:00,6,3,33380,3:04
2022,3,26,FALSE,土,西,オ,ベルーナドーム,TRUE,14:00,5,0,18109,2:37
2022,3,26,FALSE,土,D,広,横浜スタジアム,TRUE,14:00,5,10,30663,3:15
2022,3,26,FALSE,土,阪,ヤ,京セラドーム,TRUE,14:00,0,6,28315,2:55
2022,3,26,FALSE,土,巨,中,東京ドーム,TRUE,14:00,7,5,34977,3:21
2022,3,27,FALSE,日,ソ,日,PayPayドーム,TRUE,13:00,6,4,32096,3:17
2022,3,27,FALSE,日,西,オ,ベルーナドーム,TRUE,14:00,7,6,15655,3:15
2022,3,27,FALSE,日,楽,ロ,楽天生命パーク,TRUE,13:00,6,5,19903,4:17
2022,3,27,FALSE,日,D,広,横浜スタジアム,TRUE,14:00,6,7,30431,3:21
2022,3,27,FALSE,日,阪,ヤ,京セラドーム,TRUE,14:00,0,4,29111,3:10
2022,3,27,FALSE,日,巨,中,東京ドーム,TRUE,14:00,5,7,33750,4:03
2022,3,29,FALSE,火,オ,楽,京セラドーム,TRUE,18:00,1,2,26237,3:11
2022,3,29,FALSE,火,ロ,ソ,ZOZOマリン,TRUE,18:30,1,2,23683,3:05
2022,3,29,FALSE,火,日,西,札幌ドーム,TRUE,18:30,0,4,20868,2:51
2022,3,29,FALSE,火,ヤ,巨,神宮,TRUE,18:00,3,5,21434,3:07
2022,3,29,FALSE,火,広,阪,マツダスタジアム,TRUE,18:00,3,2,28028,3:32
