日付,時,分,インプレッション,エンゲージメント,エンゲージメント率,リポスト,返信,いいね,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,固定リンクのクリック数,アプリ表示,アプリインストール,フォローしている,ポストをメール送信,ダイアル式電話,メディアの再生数,メディアのエンゲージメント数
2021/01/01,20,31,276,16,0.057971014,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0
2021/01/04,20,27,20,9,0.45,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0
2021/01/05,17,6,18,6,0.333333333,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2021/01/06,18,8,22,8,0.363636364,1,1,2,0,3,0,1,0,0,0,0,0,0,0,0
2021/01/06,20,34,46,4,0.086956522,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1
2021/01/07,17,14,14,4,0.285714286,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
2021/01/08,17,27,18,8,0.444444444,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0
2021/01/09,19,8,23,7,0.304347826,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
2021/01/09,19,20,22,6,0.272727273,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/11,17,28,459,117,0.254901961,25,0,90,0,0,1,1,0,0,0,0,0,0,0,0
2021/01/11,21,46,0,1,Infinity,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/11,21,50,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/11,22,13,6,3,0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2021/01/11,22,15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/11,22,20,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/13,13,23,15,9,0.6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/13,19,35,77,112,1.454545455,15,0,89,6,2,0,0,0,0,0,0,0,0,0,0
2021/01/13,21,50,4,2,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/13,22,1,28,3,0.107142857,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/15,11,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/15,19,50,17,86,5.058823529,23,0,62,0,1,0,0,0,0,0,0,0,0,0,0
2021/01/16,9,43,19,5,0.263157895,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/16,11,31,460,251,0.545652174,48,3,170,9,0,0,9,0,0,0,0,0,0,104,12
2021/01/16,15,31,16,1,0.0625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/17,15,23,13,7,0.538461538,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/18,11,34,39,59,1.512820513,18,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/18,23,29,14,12,0.857142857,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/19,19,48,74,26,0.351351351,4,0,20,0,2,0,0,0,0,0,0,0,0,0,0
2021/01/20,20,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/21,18,55,234,197,0.841880342,39,0,142,3,5,0,8,0,0,0,0,0,0,0,0
2021/01/22,10,1,2,3,1.5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/23,11,38,36,13,0.361111111,1,0,10,0,2,0,0,0,0,0,0,0,0,0,0
2021/01/23,12,0,19,6,0.315789474,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/24,10,13,12,2,0.166666667,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/24,16,20,21,20,0.952380952,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/25,18,49,85,17,0.2,5,0,10,0,0,0,2,0,0,0,0,0,0,0,0
2021/01/25,19,10,64,19,0.296875,2,0,16,0,0,0,0,0,0,0,0,0,0,1,1
